Date,Impact
2018-01-01,-0.59
2018-01-02,-0.54
2018-01-03,-0.56
2018-01-04,-0.6
2018-01-05,-0.55
2018-01-06,-0.55
2018-01-07,-0.53
2018-01-08,-0.56
2018-01-09,-0.6
2018-01-10,-0.6
2018-01-11,-0.57
2018-01-12,-0.56
2018-01-13,-0.54
2018-01-14,-0.59
2018-01-15,-0.62
2018-01-16,-0.6
2018-01-17,-0.46
2018-01-18,-0.59
2018-01-22,-1.0
2018-01-26,-1.0
2018-01-29,-1.0
2018-02-02,-1.0
2018-02-05,-0.98
2018-02-09,-1.0
2018-02-12,-1.0
2018-02-16,-1.0
2018-02-20,-1.0
2018-02-23,-1.0
2018-02-27,-1.0
2018-03-02,-1.0
2018-03-06,-1.0
2018-03-09,-1.0
2018-03-13,-1.0
2018-03-20,-0.98
2018-03-22,-1.0
2018-03-24,-1.0
2018-03-27,-1.0
2018-03-31,-1.0
2018-04-11,-0.99
2018-04-14,-1.0
2018-04-18,-1.0
2018-04-21,-0.92
2018-04-25,-0.95
2018-04-28,-1.0
2018-05-06,-1.0
2018-05-09,-0.99
2018-05-13,0.71
2018-05-16,-0.98
2018-05-20,-0.99
2018-05-23,-1.0
2018-05-27,-0.95
2018-05-31,-0.01
2018-06-03,-1.0
2018-06-07,-1.0
2018-06-10,-1.0
2018-06-17,-1.0
2018-06-21,-0.93
2018-06-25,-0.71
2018-06-28,-1.0
2018-07-05,-0.9
2018-07-09,-0.72
2018-07-12,-1.0
2018-07-16,-1.0
2018-07-20,-0.99
2018-07-23,-1.0
2018-07-27,-0.93
2018-07-30,-1.0
2018-08-03,-1.0
2018-08-06,-1.0
2018-08-10,-1.0
2018-08-14,-1.0
2018-08-17,0.99
2018-08-21,-1.0
2018-08-24,-0.99
2018-08-28,-1.0
2018-08-31,-1.0
2018-09-04,-0.99
2018-09-11,-1.0
2018-09-15,0.99
2018-09-18,1.0
2018-09-22,0.22
2018-09-25,0.93
2018-09-29,-0.88
2018-10-03,-0.99
2018-10-06,0.95
2018-10-10,0.94
2018-10-13,0.88
2018-10-17,-0.98
2018-10-24,-0.9
2018-10-28,-1.0
2018-10-31,-1.0
2018-11-04,-1.0
2018-11-07,-1.0
2018-11-11,-1.0
2018-11-14,-1.0
2018-11-18,-1.0
2018-11-22,-1.0
2018-11-25,-1.0
2018-11-29,-0.99
2018-12-06,-0.54
2018-12-09,-1.0
2018-12-17,-0.99
2018-12-20,-0.88
2018-12-24,-0.99
2018-12-27,-0.98
2018-12-31,-0.99
2019-01-01,-0.36
2019-01-02,-0.17
2019-01-03,-0.39
2019-01-04,-0.66
2019-01-05,-0.31
2019-01-06,-0.59
2019-01-07,-0.2
2019-01-08,-0.44
2019-01-09,-0.37
2019-01-10,-0.4
2019-01-11,-0.33
2019-01-12,-0.35
2019-01-13,-0.45
2019-01-14,-0.56
2019-01-15,-0.39
2019-01-16,-0.43
2019-01-17,-0.05
2019-01-18,-0.35
2019-01-19,-0.45
2019-01-20,-0.55
2019-01-21,-0.62
2019-01-22,-0.34
2019-01-23,-0.28
2019-01-24,-0.62
2019-01-25,-0.38
2019-01-26,-0.39
2019-01-27,-0.43
2019-01-28,-0.39
2019-01-29,-0.57
2019-01-30,-0.22
2019-01-31,-0.33
2019-02-01,-0.29
2019-02-02,-0.59
2019-02-03,-0.24
2019-02-04,-0.14
2019-02-05,-0.53
2019-02-06,-0.33
2019-02-07,-0.16
2019-02-08,-0.3
2019-02-09,-0.32
2019-02-10,-0.38
2019-02-11,-0.53
2019-02-12,-0.43
2019-02-13,-0.41
2019-02-14,-0.52
2019-02-15,-0.33
2019-02-16,-0.05
2019-02-17,-0.73
2019-02-18,-0.41
2019-02-19,-0.14
2019-02-20,-0.49
2019-02-21,-0.65
2019-02-22,-0.35
2019-02-23,-0.3
2019-02-24,-0.56
2019-02-25,-0.45
2019-02-26,-0.39
2019-02-27,-0.31
2019-02-28,-0.31
2019-03-01,-0.08
2019-03-02,-0.59
2019-03-03,-0.27
2019-03-04,-0.43
2019-03-05,-0.22
2019-03-06,-0.4
2019-03-07,-0.58
2019-03-08,-0.6
2019-03-09,-0.38
2019-03-10,-0.45
2019-03-11,-0.35
2019-03-12,-0.32
2019-03-13,-0.48
2019-03-14,-0.35
2019-03-15,-0.67
2019-03-16,-0.47
2019-03-17,-0.55
2019-03-18,-0.0
2019-03-19,-0.52
2019-03-20,-0.5
2019-03-21,-0.66
2019-03-22,-0.16
2019-03-23,-0.51
2019-03-24,-0.4
2019-03-25,-0.45
2019-03-26,-0.39
2019-03-27,-0.52
2019-03-28,-0.72
2019-03-29,-0.41
2019-03-30,-0.14
2019-03-31,-0.36
2019-04-01,-0.36
2019-04-02,-0.45
2019-04-03,-0.17
2019-04-04,-0.11
2019-04-05,-0.54
2019-04-06,-0.22
2019-04-07,-0.15
2019-04-08,-0.58
2019-04-09,-0.25
2019-04-10,-0.38
2019-04-11,-0.37
2019-04-12,-0.43
2019-04-13,-0.43
2019-04-14,-0.22
2019-04-15,-0.23
2019-04-16,-0.24
2019-04-17,-0.32
2019-04-18,-0.18
2019-04-19,-0.46
2019-04-20,-0.99
2019-04-21,-0.29
2019-04-22,-0.66
2019-04-23,-0.34
2019-04-24,-0.59
2019-04-25,-0.43
2019-04-26,-0.21
2019-04-27,-0.39
2019-04-28,-0.49
2019-04-29,-0.3
2019-04-30,-0.42
2019-05-01,-0.49
2019-05-02,-0.39
2019-05-03,0.02
2019-05-04,-0.6
2019-05-05,-0.66
2019-05-06,-0.3
2019-05-07,-0.1
2019-05-08,-0.05
2019-05-09,-0.31
2019-05-10,-0.44
2019-05-11,-0.06
2019-05-12,-0.68
2019-05-13,-0.29
2019-05-14,-0.11
2019-05-15,-0.4
2019-05-16,-0.03
2019-05-17,-0.1
2019-05-18,-0.36
2019-05-19,-0.57
2019-05-20,-0.15
2019-05-21,-0.42
2019-05-22,-0.08
2019-05-23,-0.6
2019-05-24,-0.42
2019-05-25,0.04
2019-05-26,-0.19
2019-05-27,-0.01
2019-05-28,-0.54
2019-05-29,-0.64
2019-05-30,-0.55
2019-05-31,-0.55
2019-06-01,-0.21
2019-06-02,-0.15
2019-06-03,-0.33
2019-06-04,-0.3
2019-06-05,-0.4
2019-06-06,-0.12
2019-06-07,-0.22
2019-06-08,-0.21
2019-06-09,-0.46
2019-06-10,-0.68
2019-06-11,-0.47
2019-06-12,-0.41
2019-06-13,-0.19
2019-06-14,-0.53
2019-06-15,-0.34
2019-06-16,-0.29
2019-06-17,-0.43
2019-06-18,-0.32
2019-06-19,-0.16
2019-06-20,-0.23
2019-06-21,-0.5
2019-06-22,-0.63
2019-06-23,-0.25
2019-06-24,-0.49
2019-06-25,-0.38
2019-06-26,0.11
2019-06-27,-0.12
2019-06-28,-0.35
2019-06-29,-0.62
2019-06-30,-0.26
2019-07-01,-0.67
2019-07-02,-0.71
2019-07-03,-0.29
2019-07-04,-0.21
2019-07-05,-0.58
2019-07-06,-0.1
2019-07-07,-0.46
2019-07-08,-0.14
2019-07-09,-0.56
2019-07-10,-0.35
2019-07-11,-0.06
2019-07-12,-0.48
2019-07-13,-0.2
2019-07-14,-0.17
2019-07-15,-0.19
2019-07-16,-0.54
2019-07-17,-0.8
2019-07-18,-0.34
2019-07-19,-0.46
2019-07-20,-0.27
2019-07-21,-0.45
2019-07-22,-0.15
2019-07-23,-0.51
2019-07-24,-0.18
2019-07-25,-0.36
2019-07-26,-0.63
2019-07-27,-0.35
2019-07-28,-0.55
2019-07-29,-0.34
2019-07-30,-0.25
2019-07-31,-0.63
2019-08-01,-0.53
2019-08-02,-0.49
2019-08-03,-0.02
2019-08-04,-0.67
2019-08-05,-0.65
2019-08-06,-0.38
2019-08-07,-0.63
2019-08-08,-0.64
2019-08-09,-0.14
2019-08-10,-0.59
2019-08-11,-0.3
2019-08-12,-0.54
2019-08-13,-0.52
2019-08-14,-0.51
2019-08-15,-0.08
2019-08-16,-0.43
2019-08-17,-0.52
2019-08-18,-0.05
2019-08-19,-0.67
2019-08-20,-0.08
2019-08-21,0.0
2019-08-22,-0.39
2019-08-23,-0.37
2019-08-24,-0.24
2019-08-25,-0.41
2019-08-26,-0.04
2019-08-27,-0.58
2019-08-28,-0.45
2019-08-29,-0.49
2019-08-30,-0.12
2019-08-31,-0.42
2019-09-01,-0.37
2019-09-02,-0.34
2019-09-03,-0.21
2019-09-04,0.13
2019-09-05,0.06
2019-09-06,-0.43
2019-09-07,-0.51
2019-09-08,-0.56
2019-09-09,-0.33
2019-09-10,-0.31
2019-09-11,-0.53
2019-09-12,-0.35
2019-09-13,-0.11
2019-09-14,-0.8
2019-09-15,-0.34
2019-09-16,-0.62
2019-09-17,-0.39
2019-09-18,-0.19
2019-09-19,-0.45
2019-09-20,-0.57
2019-09-21,-0.31
2019-09-22,-0.19
2019-09-23,-0.25
2019-09-24,-0.45
2019-09-25,-0.46
2019-09-26,-0.16
2019-09-27,-0.59
2019-09-28,-0.34
2019-09-29,-0.36
2019-09-30,-0.44
2019-10-01,-0.19
2019-10-02,-0.55
2019-10-03,-0.34
2019-10-04,-0.41
2019-10-05,-0.62
2019-10-06,-0.5
2019-10-07,-0.36
2019-10-08,0.24
2019-10-09,-0.47
2019-10-10,-0.38
2019-10-11,-0.31
2019-10-12,-0.24
2019-10-13,-0.74
2019-10-14,-0.2
2019-10-15,-0.26
2019-10-16,-0.69
2019-10-17,0.1
2019-10-18,-0.53
2019-10-19,-0.44
2019-10-20,-0.56
2019-10-21,-0.29
2019-10-22,-0.52
2019-10-23,-0.21
2019-10-24,0.11
